country,region_name,subregion_name,sector_name,group_name,link
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","https://wspinanie.pl/topo2/page,topo-rejony,rejon,306.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","https://wspinanie.pl/topo2/page,topo-rejony,rejon,307.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","https://wspinanie.pl/topo2/page,topo-rejony,rejon,308.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","https://wspinanie.pl/topo2/page,topo-rejony,rejon,309.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","https://wspinanie.pl/topo2/page,topo-rejony,rejon,310.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Z Bluszczem","https://wspinanie.pl/topo2/page,topo-rejony,rejon,311.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cmentarzysko","https://wspinanie.pl/topo2/page,topo-rejony,rejon,312.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Wąwóz Przecówki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,313.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Sokolica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,314.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Grupa Wysokiej","https://wspinanie.pl/topo2/page,topo-rejony,rejon,315.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Futerko i Lajkonik","https://wspinanie.pl/topo2/page,topo-rejony,rejon,316.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Rogata Grań","https://wspinanie.pl/topo2/page,topo-rejony,rejon,317.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Grupa Pytajników","https://wspinanie.pl/topo2/page,topo-rejony,rejon,318.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Grupa Bramy Będkowskiej","https://wspinanie.pl/topo2/page,topo-rejony,rejon,319.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Luneta i Barykada","https://wspinanie.pl/topo2/page,topo-rejony,rejon,320.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Turnia Nad Szańcem i Reduta","https://wspinanie.pl/topo2/page,topo-rejony,rejon,321.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Migdałkowa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,322.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Wężowe Skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,323.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Rybna Skała","https://wspinanie.pl/topo2/page,topo-rejony,rejon,324.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Przydrożna","https://wspinanie.pl/topo2/page,topo-rejony,rejon,325.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cebulowa Skała","https://wspinanie.pl/topo2/page,topo-rejony,rejon,326.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Fiala","https://wspinanie.pl/topo2/page,topo-rejony,rejon,327.html"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Wzgórze 502","https://wspinanie.pl/topo2/page,topo-rejony,rejon,328.html"
