country,region_name,subregion_name,sector_name,group_name,crag_name,link,rock_type,height,geo,exposure
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","https://wspinanie.pl/topo2/page,topo-skaly,skala,435.html","Wapień","14m","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","https://wspinanie.pl/topo2/page,topo-skaly,skala,102.html","Wapień","25m","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","https://wspinanie.pl/topo2/page,topo-skaly,skala,436.html","Wapień","16m","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","https://wspinanie.pl/topo2/page,topo-skaly,skala,437.html","Wapień","16m","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","https://wspinanie.pl/topo2/page,topo-skaly,skala,438.html","Wapień","14m","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","https://wspinanie.pl/topo2/page,topo-skaly,skala,439.html","Wapień","16m","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Hades","https://wspinanie.pl/topo2/page,topo-skaly,skala,440.html","Wapień","18m","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","Turnia Lipczyńskiej","https://wspinanie.pl/topo2/page,topo-skaly,skala,129.html","Wapień","20m","N 50°10'34.1976"" E 19°44'34.587""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","Płyta Sasa i Ściana Luster","https://wspinanie.pl/topo2/page,topo-skaly,skala,137.html","Wapień","25m","N 50°10'33.603"" E 19°44'34.2348""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","Murarze i Płaska Turniczka","https://wspinanie.pl/topo2/page,topo-skaly,skala,441.html","Wapień","20m","N 50°10'32.0154"" E 19°44'35.988""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","Pierwszy Filarek i Babka","https://wspinanie.pl/topo2/page,topo-skaly,skala,442.html","Wapień","14m","N 50°10'32.0154"" E 19°44'35.988""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Dupa Słonia","Iglica","https://wspinanie.pl/topo2/page,topo-skaly,skala,838.html","Wapień","20m","","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Z Bluszczem","Skała z Bluszczem","https://wspinanie.pl/topo2/page,topo-skaly,skala,443.html","Wapień","18m","N 50°10'41.016"" E 19°44'44.988""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cmentarzysko","Prawe Cmentarzysko","https://wspinanie.pl/topo2/page,topo-skaly,skala,111.html","Wapień","20m","N 50°10'28.8192"" E 19°44'38.9256""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cmentarzysko","Lewe Cmentarzysko","https://wspinanie.pl/topo2/page,topo-skaly,skala,444.html","Wapień","30m","N 50°10'29.9994"" E 19°44'39.984""","Sektor zacieniony"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cmentarzysko","Iglica","https://wspinanie.pl/topo2/page,topo-skaly,skala,445.html","Wapień","20m","N 50°10'29.9994"" E 19°44'39.984""","Sektor słoneczny"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Cmentarzysko","Cyrk Cmentarzyska","https://wspinanie.pl/topo2/page,topo-skaly,skala,446.html","Wapień","25m","N 50°10'29.9994"" E 19°44'39.984""","Częściowo w słońcu"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Wąwóz Przecówki","Brandysowa","https://wspinanie.pl/topo2/page,topo-skaly,skala,167.html","Wapień","25m","N 50°10'32.9016"" E 19°44'34.9362""","Sektor słoneczny"
