country,region_name,subregion_name,sector_name,group_name,crag_name,link
"Polska","Pomorze","Szczecin","Wieża Bismarcka","Wieża Bismarcka","Wieża Bismarcka","https://wspinanie.pl/topo2/page,topo-skaly,skala,61.html"
"Polska","Pomorze","Brętowo","Gdyński","Gdyński","Gdyński","https://wspinanie.pl/topo2/page,topo-skaly,skala,625.html"
"Polska","Pomorze","Rutki","Stary filar","Stary filar","Stary filar","https://wspinanie.pl/topo2/page,topo-skaly,skala,626.html"
"Polska","Sudety","Chwałków","Główna Ściana","Główna Ściana","Główna Ściana","https://wspinanie.pl/topo2/page,topo-skaly,skala,323.html"
"Polska","Sudety","Chwałków","Sektor nad wodą","Sektor nad wodą","Sektor nad wodą","https://wspinanie.pl/topo2/page,topo-skaly,skala,324.html"
"Polska","Tatry","Tatry Wysokie","Zachodnia ściana Kościelca","Zachodnia ściana Kościelca","Zachodnia ściana Kościelca","https://wspinanie.pl/topo2/page,topo-skaly,skala,55.html"
"Polska","Tatry","Tatry Wysokie","Kazalnica Mięguszowiecka","Kazalnica Mięguszowiecka","Kazalnica Mięguszowiecka","https://wspinanie.pl/topo2/page,topo-skaly,skala,159.html"
"Polska","Tatry","Tatry Wysokie","Żabia Turnia Mięguszowiecka","Żabia Turnia Mięguszowiecka","Żabia Turnia Mięguszowiecka","https://wspinanie.pl/topo2/page,topo-skaly,skala,673.html"
"Polska","Tatry","Tatry Wysokie","Zamarła Turnia","Zamarła Turnia","Zamarła Turnia","https://wspinanie.pl/topo2/page,topo-skaly,skala,729.html"
"Polska","Tatry","Tatry Wysokie","Mnich","Mnich","Mnich","https://wspinanie.pl/topo2/page,topo-skaly,skala,785.html"
"Polska","Tatry","Tatry Wysokie","Zadni Kościelec","Zadni Kościelec","Zadni Kościelec","https://wspinanie.pl/topo2/page,topo-skaly,skala,786.html"
"Polska","Tatry","Tatry Wysokie","Kopa Spadowa","Kopa Spadowa","Kopa Spadowa","https://wspinanie.pl/topo2/page,topo-skaly,skala,789.html"
"Polska","Tatry","Tatry Wysokie","Mięguszowiecki Szczyt Wielki","Mięguszowiecki Szczyt Wielki","Mięguszowiecki Szczyt Wielki","https://wspinanie.pl/topo2/page,topo-skaly,skala,790.html"
"Polska","Tatry","Tatry Wysokie","Granaty","Granaty","Granaty","https://wspinanie.pl/topo2/page,topo-skaly,skala,869.html"
"Polska","Podkarpacie","Kamień Leski","Filar Narożny","Filar Narożny","Filar Narożny","https://wspinanie.pl/topo2/page,topo-skaly,skala,148.html"
