country,region_name,subregion_name,sector_name,group_name,crag_name,route_name,rock_type,geo,exposure,link,grade,height,pitches,bolt,anchor,type,steepness
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","Gdzie ta siła w dżemie","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4148.html","VI.2+","14m","1","3","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","Jakubowa drabina","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4151.html","VI.2+","14m","1","2","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","Komin z blokami","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4150.html","V+","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","możliwość","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4153.html","?","14m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","Seans z powidłami","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4149.html","VI.2+","14m","1","3","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Skała Nad Źródłem","Skała Nad Źródłem","Trochę swinga","Wapień","N 50°10'50.0154"" E 19°45'12.9954""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4152.html","VI.4","14m","1","4","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Bluszczowy filarek","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4156.html","VI.2+","18m","1","6","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Capcarap","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4161.html","VI.1","18m","1","5","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Confabulatio rexii","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4164.html","VI","18m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Głowa mnie boli","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4169.html","VI+","18m","1","0","NIE","asekuracja własna","pionowa"
